Timestamp,Letter,Emotion,Movement Speed,Avg Error Distance
2025-05-16 17:51:24,A,Neutral,0.00,0.00
2025-05-16 17:51:24,A,Neutral,0.00,0.00
2025-05-16 17:51:24,A,Neutral,0.00,0.00
2025-05-16 17:51:24,A,Neutral,0.00,0.00
2025-05-16 17:51:24,A,Negative,0.00,0.00
2025-05-16 17:51:24,A,Neutral,0.00,0.00
2025-05-16 17:51:24,A,Neutral,0.00,0.00
2025-05-16 17:51:24,A,Negative,0.00,0.00
2025-05-16 17:51:24,A,Neutral,0.00,0.00
2025-05-16 17:51:24,A,Neutral,0.00,0.00
2025-05-16 17:51:24,A,Neutral,0.00,0.00
2025-05-16 17:51:24,A,Neutral,0.00,0.00
2025-05-16 17:51:24,A,Neutral,0.00,0.00
2025-05-16 17:51:24,A,Neutral,0.00,0.00
2025-05-16 17:51:24,A,Neutral,187.60,21.73
2025-05-16 17:51:25,A,Neutral,256.73,21.84
2025-05-16 17:51:25,A,Neutral,125.16,21.61
2025-05-16 17:51:25,A,Neutral,142.66,21.17
2025-05-16 17:51:25,A,Neutral,394.86,20.43
2025-05-16 17:51:25,A,Neutral,446.02,19.74
2025-05-16 17:51:25,A,Neutral,559.63,19.23
2025-05-16 17:51:25,A,Neutral,662.57,18.88
2025-05-16 17:51:25,A,Neutral,558.32,18.58
2025-05-16 17:51:25,A,Neutral,0.00,18.58
2025-05-16 17:51:25,A,Neutral,0.00,18.58
2025-05-16 17:51:25,A,Neutral,0.00,18.58
2025-05-16 17:51:25,A,Neutral,0.00,18.58
2025-05-16 17:51:25,A,Neutral,0.00,18.58
2025-05-16 17:51:25,A,Neutral,0.00,18.58
2025-05-16 17:51:25,A,Neutral,790.71,16.91
2025-05-16 17:51:26,A,Neutral,660.28,15.70
2025-05-16 17:51:26,A,Neutral,287.32,14.58
2025-05-16 17:51:26,A,Neutral,278.92,13.53
2025-05-16 17:51:26,A,Neutral,405.17,12.78
2025-05-16 17:51:26,A,Neutral,389.75,12.17
2025-05-16 17:51:26,A,Neutral,239.24,11.57
2025-05-16 17:51:26,A,Neutral,101.97,10.94
2025-05-16 17:51:26,A,Neutral,224.46,10.35
2025-05-16 17:51:26,A,Neutral,404.21,9.84
2025-05-16 17:51:26,A,Neutral,591.61,9.36
2025-05-16 17:51:26,A,Neutral,511.47,9.00
2025-05-16 17:51:26,A,Neutral,296.49,8.85
2025-05-16 17:51:26,A,Neutral,165.88,8.84
2025-05-16 17:51:26,A,Neutral,165.58,8.93
2025-05-16 17:51:27,A,Negative,93.02,9.01
2025-05-16 17:51:27,A,Negative,315.67,8.95
2025-05-16 17:51:27,A,Neutral,262.71,8.76
2025-05-16 17:51:27,A,Neutral,551.62,8.57
2025-05-16 17:51:27,A,Neutral,487.34,8.34
2025-05-16 17:51:27,A,Neutral,707.09,8.16
2025-05-16 17:51:27,A,Neutral,439.48,7.95
2025-05-16 17:51:27,A,Neutral,353.86,7.88
2025-05-16 17:51:27,A,Neutral,475.47,7.95
2025-05-16 17:51:27,A,Neutral,43.11,7.99
2025-05-16 17:51:27,A,Negative,279.08,8.00
2025-05-16 17:51:27,A,Negative,299.89,7.86
2025-05-16 17:51:27,A,Neutral,401.52,7.74
2025-05-16 17:51:27,A,Neutral,451.64,7.76
2025-05-16 17:51:27,A,Neutral,439.17,7.81
2025-05-16 17:51:27,A,Neutral,366.97,7.88
2025-05-16 17:51:28,A,Neutral,321.71,7.90
2025-05-16 17:51:28,A,Neutral,211.07,7.93
2025-05-16 17:51:28,A,Neutral,468.90,7.76
2025-05-16 17:51:28,A,Neutral,133.11,7.61
2025-05-16 17:51:28,A,Neutral,138.12,7.49
2025-05-16 17:51:28,A,Neutral,230.40,7.36
2025-05-16 17:51:28,A,Neutral,150.01,7.23
2025-05-16 17:51:28,A,Neutral,76.93,7.14
2025-05-16 17:51:28,A,Negative,128.83,7.02
2025-05-16 17:51:28,A,Negative,413.15,7.00
2025-05-16 17:51:28,A,Neutral,327.58,6.93
2025-05-16 17:51:28,A,Neutral,399.97,6.80
2025-05-16 17:51:28,A,Negative,527.68,6.68
